地区,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市
生产总值,3667.96,738.21,864.95,1779.96,900.27,606.98,1843.59,1242.11,1522.99,1036.77,1550.24
第一产业,162.72,53.78,58.48,131.38,52.59,46.58,282.58,204.05,224.16,166.48,213.26
第二产业,2017.01,428.91,509.99,984.95,520.43,372.25,843.42,634.3,824.58,532.86,779.01
工业,1500.7,376.27,459.57,831.11,455.54,343.8,720.62,541.58,737.2,443.35,646.7
建筑业,516.31,52.64,50.42,153.85,65.14,28.46,122.8,92.72,87.38,91.54,132.31
第三产业,1488.23,255.52,296.48,663.63,327.25,188.15,717.6,403.77,474.25,337.43,557.97
交通,154.5,39.74,45.94,93.92,54.72,42.67,92.3,54.61,60.13,63.04,65.05
零售餐饮,321.99,78.45,87.54,195.07,104.46,49.82,138.82,99.84,132.53,74.63,165.71
金融,247.05,15.45,21.55,35.42,31.81,27.77,86.1,41.03,56.38,14.19,37.99
人均gdp,70373,45438,45867,37097,77730,53011,21708,25486,27764,26118,23221
gdp-劳动报酬,1547.92,335.02,263.05,642.43,284.05,171.79,886.17,611.08,741.75,500.61,878.68
gdp-固定资产折现,565.99,113.35,91.37,284.52,228.97,152.79,160.15,197.4,285.96,198.47,170.4
gdp-生产税,515.21,109.29,124.8,247.48,193.65,102.38,248.7,144.79,231.82,170.79,195.26
gdp营业盈余,1038.84,180.55,385.72,605.52,193.6,180.03,548.57,288.84,263.45,166.9,305.89
最终消费,1925.68,377.96,336.77,823.19,360.82,233.22,1371.44,637.03,759.28,380.05,682.03
居民消费,1762,301.58,227.57,627.43,229.08,164.5,1133.73,484.57,598.37,295.38,605.18
农村居民消费,560.43,99.31,87,211.16,41.3,51.75,403.74,158.14,355.59,140.57,240.17
城镇居民消费,1201.57,202.27,140.57,416.27,187.79,112.75,729.99,326.43,242.78,154.81,365.01
政府支出,163.68,76.38,109.2,195.76,131.74,68.72,237.71,152.47,160.91,84.67,76.85
自然保护区个数,10,8,4,42,3,4,54,33,27,26,26
自然保护区面积,122.49,49.5,16.42,215.34,2.73,15.24,276.04,106.18,69.61,149.62,185.42
自然保护区占辖区面积比重,16.54,9.43,4.29,11.44,0.86,4.29,7.01,4.2,3.73,7.95,8.14
